iter	Passed	Remaining
447	1222	1506
448	1224	1502
449	1226	1498
450	1227	1494
451	1233	1495
452	1235	1491
453	1237	1487
454	1240	1485
455	1242	1482
456	1249	1484
457	1251	1480
458	1254	1479
459	1258	1476
460	1263	1476
461	1265	1473
462	1267	1469
463	1269	1466
464	1270	1462
465	1272	1458
466	1274	1454
467	1286	1462
468	1288	1458
469	1290	1455
470	1295	1454
471	1297	1451
472	1299	1447
473	1300	1443
474	1303	1440
475	1304	1436
476	1306	1432
477	1310	1431
478	1313	1428
479	1314	1424
480	1316	1420
481	1317	1416
482	1319	1412
483	1324	1412
484	1326	1408
485	1328	1404
486	1331	1402
487	1332	1398
488	1334	1394
489	1335	1390
490	1346	1395
491	1348	1392
492	1349	1388
493	1351	1384
494	1352	1380
495	1357	1379
496	1359	1376
497	1361	1372
498	1363	1369
499	1368	1368
500	1371	1365
501	1372	1361
502	1374	1357
503	1375	1354
504	1377	1350
505	1382	1350
506	1385	1346
507	1386	1343
508	1388	1339
509	1390	1336
510	1392	1332
511	1394	1329
512	1399	1328
513	1400	1324
514	1402	1320
515	1404	1317
516	1406	1313
517	1408	1310
518	1409	1306
519	1413	1304
520	1415	1301
521	1418	1298
522	1419	1295
523	1421	1291
524	1425	1289
525	1447	1304
526	1449	1301
527	1452	1298
528	1453	1294
529	1455	1291
530	1463	1292
531	1464	1288
532	1467	1285
533	1469	1282
534	1471	1279
535	1475	1277
536	1478	1274
537	1480	1271
538	1482	1268
539	1484	1264
540	1487	1262
541	1490	1259
542	1492	1256
543	1494	1252
544	1495	1248
545	1497	1244
546	1501	1243
547	1503	1240
548	1505	1236
549	1507	1233
550	1509	1229
551	1510	1226
552	1512	1222
553	1518	1222
554	1519	1218
555	1521	1214
556	1522	1211
557	1524	1207
558	1534	1210
559	1536	1207
560	1537	1203
561	1539	1199
562	1541	1196
563	1542	1192
564	1547	1191
565	1549	1187
566	1550	1184
567	1552	1180
568	1554	1177
569	1556	1173
570	1557	1170
571	1562	1169
572	1565	1166
573	1567	1163
574	1569	1159
575	1581	1164
576	1585	1162
577	1586	1158
578	1601	1164
579	1602	1160
580	1630	1175
581	1632	1172
582	1634	1169
583	1636	1165
584	1638	1162
585	1642	1160
586	1645	1157
587	1658	1161
588	1660	1158
589	1661	1154
590	1665	1152
591	1667	1149
592	1668	1145
593	1670	1141
594	1675	1140
595	1689	1145
596	1691	1141
597	1693	1138
598	1695	1135
599	1697	1131
600	1699	1128
601	1703	1126
602	1705	1122
603	1707	1119
604	1709	1116
605	1711	1112
606	1716	1111
607	1718	1107
608	1720	1104
609	1723	1101
610	1724	1098
611	1726	1094
612	1728	1090
613	1744	1096
614	1749	1095
615	1752	1092
616	1753	1088
617	1755	1085
618	1756	1081
619	1760	1078
620	1764	1076
621	1766	1073
622	1769	1070
623	1771	1067
624	1773	1064
625	1779	1063
626	1781	1059
627	1782	1056
628	1784	1052
629	1788	1050
630	1789	1046
631	1791	1042
632	1795	1041
633	1797	1037
634	1799	1034
635	1801	1031
636	1803	1027
637	1805	1024
638	1808	1021
639	1810	1018
640	1813	1015
641	1814	1011
642	1819	1010
643	1821	1006
644	1843	1014
645	1844	1010
646	1847	1008
647	1851	1005
648	1852	1002
649	1864	1004
650	1866	1000
651	1870	998
652	1872	994
653	1874	991
654	1876	988
655	1878	984
656	1880	981
657	1885	980
658	1887	976
659	1903	980
660	1906	977
661	1908	974
662	1910	971
663	1930	976
664	1933	974
665	1935	970
666	1938	967
667	1944	966
668	1945	962
669	1947	959
670	1948	955
671	1950	952
672	1952	948
673	1954	945
674	1960	943
675	1961	940
676	1963	936
677	1965	933
678	1969	930
679	1970	927
680	1973	924
681	1978	922
682	1981	919
683	1983	916
684	1989	914
685	1993	912
686	1995	909
687	1996	905
688	1998	902
689	2003	900
690	2005	896
691	2006	893
692	2011	891
693	2013	887
694	2015	884
695	2017	881
696	2018	877
697	2027	877
698	2030	874
699	2033	871
700	2039	869
701	2042	867
702	2045	864
703	2048	861
704	2052	859
705	2056	856
706	2059	853
707	2061	850
708	2062	846
709	2064	843
710	2068	840
711	2070	837
712	2071	833
713	2075	831
714	2077	827
715	2078	824
716	2080	821
717	2083	818
718	2084	814
719	2086	811
720	2088	808
721	2089	804
722	2091	801
723	2093	798
724	2100	796
725	2102	793
726	2104	790
727	2106	787
728	2108	783
729	2114	781
730	2116	778
731	2119	776
732	2122	773
733	2124	769
734	2130	768
735	2132	764
736	2134	761
737	2137	758
738	2148	758
739	2150	755
740	2153	752
741	2155	749
742	2159	746
743	2161	743
744	2163	740
745	2165	737
746	2170	735
747	2181	735
748	2183	731
749	2186	728
750	2188	725
751	2190	722
752	2192	719
753	2194	715
754	2196	712
755	2201	710
756	2203	707
